City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Victoria,22.29,114.16,78.01,57,9,1.01,HK,2020-11-07 20:32:02
132,Namatanai,-3.67,152.43,81.68,72,68,5.01,PG,2020-11-07 20:36:40
133,Kjollefjord,70.95,27.35,38.91,75,92,25.46,NO,2020-11-07 20:36:40
134,Pisco,-13.7,-76.22,66.99,82,90,6.93,PE,2020-11-07 20:36:40
135,Barra Patuca,15.8,-84.28,82.83,75,77,19.64,HN,2020-11-07 20:36:40
136,Rudnogorsk,57.26,103.75,24.35,99,100,5.39,RU,2020-11-07 20:36:40
137,Hermanus,-34.42,19.23,60.01,84,0,8.01,ZA,2020-11-07 20:36:40
138,Cherskiy,68.75,161.3,4.55,94,100,6.4,RU,2020-11-07 20:36:40
139,Nemuro,43.32,145.57,51.73,72,82,5.84,JP,2020-11-07 20:36:41
140,Port Alfred,-33.59,26.89,68.41,90,1,7.56,ZA,2020-11-07 20:36:41
141,Rio Gallegos,-51.62,-69.22,66.2,32,40,20.8,AR,2020-11-07 20:32:29
142,Boa Vista,2.82,-60.67,78.8,83,75,14.99,BR,2020-11-07 20:36:41
143,Morrope,-6.54,-80.01,80.01,56,0,17.22,PE,2020-11-07 20:36:41
144,Ourossogui,15.61,-13.32,100.4,31,0,6.71,SN,2020-11-07 20:36:41
145,Zyryanka,65.75,150.85,-3.82,92,99,6.31,RU,2020-11-07 20:36:41
146,Clarksburg,39.28,-80.34,73.4,28,1,1.79,US,2020-11-07 20:36:41
147,Capinopolis,-18.68,-49.57,88.7,37,64,4.12,BR,2020-11-07 20:36:41
148,Prachuap Khiri Khan,12.22,99.75,71.51,96,64,3.13,TH,2020-11-07 20:36:41
149,Kaeo,-35.1,173.78,71.01,75,31,5.99,NZ,2020-11-07 20:36:42
150,Dikson,73.51,80.55,-2.87,89,43,11.3,RU,2020-11-07 20:36:42
151,Marfino,55.7,37.38,71.11,86,0,11.18,RU,2020-11-07 20:36:42
152,Kodiak,57.79,-152.41,42.8,81,90,3.36,US,2020-11-07 20:36:42
153,Clyde River,70.47,-68.59,-5.8,83,20,4.7,CA,2020-11-07 20:31:50
154,Coahuayana,18.73,-103.68,84.2,51,20,6.93,MX,2020-11-07 20:36:42
155,Pandan,14.05,124.17,78.73,86,98,8.28,PH,2020-11-07 20:36:42
156,Pacific Grove,36.62,-121.92,57.99,62,20,8.05,US,2020-11-07 20:36:42
157,Kungurtug,50.6,97.52,20.97,93,70,1.16,RU,2020-11-07 20:36:42
